Titel,Status,Kategorie,ID,Datum,Beschreibung,Adresse,Koordinaten,Logbucheinträge
ID 1139,Kein Status,Straßen  🚧,1139,"04.05.2025, 16:59","An den Glascontainern stehen Kartons rum.
Bitte das Straßenbild optisch aufbessern und diese entsorgen!","An der Hausbäke, 26131 Oldenburg","53.1277, 8.1862","06.05.2025, 12:43: Der Müll wird im Rahmen der Stellplatzreinigung beseitigt."
ID 1138,Kein Status,Straßen  🚧,1138,"04.05.2025, 16:56","Ab Auto Westerburg bis zur Hauptstr. Ist der Asphalt  an der linken Kante wo die Büsche sind stark beschädigt.
Das stellt eine hohe Gefahr da und muss direkt behoben werden....","Prinzessinweg, 26122 Oldenburg","53.1335, 8.1912","05.05.2025, 11:43: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 05.05.2025, 11:43: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1137,Kein Status,Wilde Müllkippe 🧹,1137,"04.05.2025, 16:08","Ecke Schulweg 90/Scheideweg wird immer wieder Müll abgelegt. Restmülltüten, Flaschen, Papier. Siehe Fotos vom 4.Mai 2025","Scheideweg 61, 26121 Oldenburg","53.1633, 8.2173","07.05.2025, 07:11: Der Mangel wurde bearbeitet."
ID 1135,Kein Status,Straßen  🚧,1135,"04.05.2025, 09:02","Roller im Entwässerungsgraben. 
10 Roller blockieren Gehsteig Hasenpadd für Rollstuhlfahrer und Kinderwägen","Hasenpadd, 26133 Oldenburg","53.0978, 8.2267","06.05.2025, 10:51: Wir leiten die Meldung an den E-Scooter Betreiber weiter.; 06.05.2025, 10:40: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 06.05.2025, 10:39: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1134,Kein Status,Wilde Müllkippe 🧹,1134,"04.05.2025, 08:08",Müll vor dem Tor des Lagerplatzes der Sielacht,"Kleine Hamheide, 26125 Oldenburg","53.1759, 8.2695","07.05.2025, 07:03: Der Müll wurde beseitigt. 06.05.2025"
ID 1133,Kein Status,Privates Grün an Straßen 🌲,1133,"04.05.2025, 08:07",Starke Verschmutzung der Rinnsteine durch die dort stehenden Schwarzerlen. Im weiteren Verlauf der Straße Überwachsungen und damit Einengungen.,Lade Adresse ...,"53.1874, 8.1994","08.05.2025, 12:32: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 06.05.2025, 12:33: Die Straße ist in (AIII) eingestufft Anliegerreinigung.
Wir leiten es ans Ortnungsamt weiter.; 06.05.2025, 12:28: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1132,Kein Status,Wilde Müllkippe 🧹,1132,"02.05.2025, 22:32","Hinterlassenschaften des Partyvolks im Quellenweg: Zahlreiche leere Flaschen, Glasscherben und Müll auf der Straße und in den Straßengräben zeugen von hunderten „unbeschwert Feiernden“.","Quellenweg 51, 26129 Oldenburg","53.1441, 8.1797","05.05.2025, 06:39: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 05.05.2025, 06:39: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1130,Kein Status,Wilde Müllkippe 🧹,1130,"02.05.2025, 11:33",Am Baum gegenüber Hofstrasse 2 liegen seit ca 3 Wochen Müllsäcke. Es sind verschiedene Kabel zu sehen.,"Hofstraße 2, 26127 Oldenburg","53.1791, 8.1885","07.05.2025, 07:08: Der Müll wurde beseitigt. 06.05.2025"
ID 1129,Kein Status,Straßen  🚧,1129,"02.05.2025, 11:27",Im Bereich des Bürgersteigs abgesackte Pflasterung,"Ofenerdieker Straße 4, 26125 Oldenburg","53.1858, 8.2024","02.05.2025, 11:30: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 02.05.2025, 11:29: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1126,Kein Status,Wilde Müllkippe 🧹,1126,"01.05.2025, 09:09",Waschmaschine auf Gehweg,"Eidechsenstraße 9, 26133 Oldenburg","53.1204, 8.2205","05.05.2025, 10:12: Der Mangel wird bereits bearbeitet."
ID 1125,Kein Status,Wilde Müllkippe 🧹,1125,"01.05.2025, 09:09",Waschmaschine auf Gehweg,"Eidechsenstraße 9, 26133 Oldenburg","53.1204, 8.2205","09.05.2025, 07:04: Es sind kein Weisgeräte gefunde."
ID 1123,Kein Status,Straßen  🚧,1123,"30.04.2025, 15:03",Hochheider Weg 53 Auf dem Parkstreifen steht ein Opel Zafira Kombi ohne Kennzeichen,"Hochheider Weg 53, 26123 Oldenburg","53.1592, 8.2274","30.04.2025, 15:08: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 30.04.2025, 15:08: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1120,Kein Status,Privates Grün an Straßen 🌲,1120,"30.04.2025, 09:11","Grün ragt auf Gehweg, Bürger sprechen uns an. Höhe Hausnummer 9","Bürgereschstraße 48, 26123 Oldenburg","53.1519, 8.2228","08.05.2025, 11:18: Der Mangel wurde bearbeitet.; 30.04.2025, 15:14: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 30.04.2025, 15:14: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1118,Kein Status,Wilde Müllkippe 🧹,1118,"29.04.2025, 19:28",Müll letzte Woche Montag an die Straße gestellt,"Cloppenburger Straße 230, 26133 Oldenburg","53.1171, 8.2139","30.04.2025, 06:37: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 30.04.2025, 06:37: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1117,Kein Status,Wilde Müllkippe 🧹,1117,"29.04.2025, 16:34",Müll abgestellt,"Cloppenburger Straße 174, 26133 Oldenburg","53.1211, 8.2167","30.04.2025, 06:38: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 30.04.2025, 06:37: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1116,Kein Status,Wilde Müllkippe 🧹,1116,"29.04.2025, 14:28","Hallo, an der Ecke Nadorster Straße/Friesenstraße liegt schon seit mehreren Wochen Müll zwischen der Spielhalle und den Garagen in der Friesenstraße.","Friesenstraße 1, 26121 Oldenburg","53.1585, 8.2211","07.05.2025, 07:46: Der Müll wurde beseitigt."
ID 1114,Bearbeitet,Privates Grün an Straßen 🌲,1114,"29.04.2025, 11:10","Am Schafgarbenweg Ecke Glockeblumenweg 2, ragen die Äster zweier Bäume so stark auf die Fahrbahn, dass Busse diese beim vorbeifahren schon streifen.","Schafgarbenweg, 26135 Oldenburg","53.095, 8.2559","23.05.2025, 13:54: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 23.05.2025, 13:53: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1113,Kein Status,Straßen  🚧,1113,"29.04.2025, 10:06","Scherben unter der Autobahnbrücke schon seit einiger Zeit. Ich fahre täglich mit dem Fahrrad durch. Es scheint dass dort mal eine Scheibe eingeschlagen wurde. Vielleicht könnte die Stadtreinigung dort die Straße kehren, damit wir Radfahrer ohne Platten wieder durchfahren können. Vielen Dank!","Burmesterstraße, 26133 Oldenburg","53.1237, 8.2294","07.05.2025, 07:53: Der Mangel wurde beseitigt."
ID 1112,Kein Status,Straßen  🚧,1112,"29.04.2025, 09:51",Der Sandfurter Weg ist wahrscheinlich durch den Busverkehr mit tiefen Löchern übersät.,"Balthasarweg, 26131 Oldenburg","53.1325, 8.1755","29.04.2025, 12:25: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 29.04.2025, 12:25: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1111,Kein Status,Wilde Müllkippe 🧹,1111,"29.04.2025, 06:39",Auf dem Fahrradweg liegt eine tote Taube.,"Scheideweg 281, 26127 Oldenburg","53.1809, 8.2054","05.05.2025, 12:58: Der Mangel wurde bearbeitet.; 29.04.2025, 09:30: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 29.04.2025, 09:30: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1110,Kein Status,Straßen  🚧,1110,"28.04.2025, 20:56","Zwei Kanaldeckel sind auch nach längerer Zeit nicht richtig eingefasst. Schlecht für jeden PKW.
Vielen Dank im Vorfeld.","Paulstraße 8, 26129 Oldenburg","53.1401, 8.1817","29.04.2025, 12:00: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 29.04.2025, 12:00: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1109,Kein Status,Straßen  🚧,1109,"28.04.2025, 18:58",Der Betonpoller an der Straße wurde umgefallen.,"Dietrichsweg 49, 26127 Oldenburg","53.1544, 8.1922","29.04.2025, 12:23: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 29.04.2025, 12:04: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1107,Kein Status,Wilde Müllkippe 🧹,1107,"28.04.2025, 12:20","An der Einmündung Gneisenaustr/Huntemannstr. würde eine Waschmaschine, Schrankteile Bekleidung und Sonstiger Hausmüll entsorgt.","Gneisenaustraße, 26131 Oldenburg","53.1394, 8.1903","07.05.2025, 07:50: Der Müll wurde beseitigt."
ID 1105,Kein Status,Wilde Müllkippe 🧹,1105,"28.04.2025, 10:35","Die beiden vorhandenen Mülleimer sind restlos überfüllt, der Müll liegt auch drum herum.","Mühlenhofsweg 186, 26125 Oldenburg","53.1628, 8.2464","29.04.2025, 13:19: Vielen Dank für die Meldung! Der Schaden wird in Kürze beseitigt.; 29.04.2025, 06:57: Mit der Bitte um weitere Bearbeitung.; 28.04.2025, 10:36: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 28.04.2025, 10:36: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1104,Kein Status,Verkehrszeichen ⚠️,1104,"28.04.2025, 08:14",Kurz vor der Kurve bei der Bundeswehr hat ein Fahrzeug ein Verkehrsschild umgefahren.,"Sprungweg, 26133 Lower Saxony","53.087, 8.2334","12.05.2025, 07:34: Vielen Dank für die Meldung. Der beschriebene Schaden wurde vom zuständigen Amt behoben.; 28.04.2025, 08:23: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 28.04.2025, 08:23: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1103,Kein Status,Ampel 🚦,1103,"27.04.2025, 21:42",Fahrtrichtung Hochheiderweg - Flötenteich ... Grünphase (Glühbirne) defekt,"Hochheider Weg 111, 26123 Oldenburg","53.1618, 8.2314","29.04.2025, 12:25: Der in der Meldung angezeigte Mangel wurde beseitigt.; 28.04.2025, 08:24: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 28.04.2025, 08:24: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1102,Kein Status,Privates Grün an Straßen 🌲,1102,"27.04.2025, 19:35",Das Straßenschild an der Einmündung zum Kuckucksnest ist völlig von einem Busch zugewuchert und nicht lesbar..,"Kuckucksweg 29 u. 31, 26131 Oldenburg","53.1329, 8.1799","28.04.2025, 10:01: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 28.04.2025, 10:01: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1099,Kein Status,Verkehrszeichen ⚠️,1099,"27.04.2025, 11:41",STRAßENNAMENSSCHILD  ist durch massiven Grünspan nicht mehr lesbar.,"Emilie-Oltmanns-Straße 16, 26135 Oldenburg","53.1275, 8.2175","28.04.2025, 08:25: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 28.04.2025, 08:24: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1096,Kein Status,Ampel 🚦,1096,"26.04.2025, 10:35",Die Grünphase der Ampel leuchtet auf einer Seite nicht.,"Ammergaustraße 58, 26123 Oldenburg","53.1617, 8.2315","29.04.2025, 07:56: Der in der Meldung angezeigte Mangel wurde beseitigt.; 28.04.2025, 08:27: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 28.04.2025, 08:27: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1094,Kein Status,Privates Grün an Straßen 🌲,1094,"25.04.2025, 17:33","Der Vorgarten des Objektes Bloherfelder Str 7 überwuchert mittlerweile den halben Gehweg und man muss teilweise gefährlich auf den Radweg ausweichen - zumal hier beidseitig befahren werden darf. 
Brisant - das Objekt ist das Gebäude das Tagesaufenthaltes für Wohnungslose und da sollte die Öffentliche Hand höchstselbst verantwortlich sein. peinlich","Bloherfelder Straße 7, 26129 Oldenburg","53.1415, 8.1912","28.04.2025, 11:29: Vielen Dank für die Meldung! Die Mieterin wurde informiert. Der Schaden wird in Kürze beseitigt.; 28.04.2025, 10:38: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 28.04.2025, 10:37: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1093,Kein Status,Privates Grün an Straßen 🌲,1093,"25.04.2025, 16:42","Straßenabsperrung und dazugehörige ""Füße"" liegen stadteinwärts direkt hinter den Gleisen nach Bremen.  Nicht erst seit gestern. WRe schön, wenn sie die dort rausholen und gleich ein wenig den Ort von Müll befreien.","Stedinger Str., 26135 Oldenburg","53.1379, 8.2368","28.04.2025, 11:25: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 28.04.2025, 11:25: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1092,Kein Status,Wilde Müllkippe 🧹,1092,"25.04.2025, 14:34",An der Ecke Friesenstraße/Nadorster Str. zwischen Spielhalle und Garagen.,"Nadorster Straße 171, 26123 Oldenburg","53.1586, 8.2212","07.05.2025, 07:49: Der Müll wurde beseitigt."
ID 1091,Bearbeitet,Wilde Müllkippe 🧹,1091,"25.04.2025, 11:12","Hallo, leider liegt am Artillerieweg gegenüber vom Pizza Lieferdienst schon seit Monaten Müll.",26129 Oldenburg,"53.1514, 8.1866","07.05.2025, 10:33: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen."
ID 1090,Kein Status,Privates Grün an Straßen 🌲,1090,"25.04.2025, 08:21",Vor dem Haus Beentweg 15 und 15 A ist die Holzverkleidung des Grabens auf 15 Meter defekt und muss repariert werden.,"Beentweg, 26135 Oldenburg","53.0951, 8.2457","28.04.2025, 11:29: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 28.04.2025, 11:29: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1089,Kein Status,Wilde Müllkippe 🧹,1089,"25.04.2025, 08:18","Guten Morgen,
im Bloher Kamp, Höhe Hausnummer 10, riecht es auf Höhe der Sträucher, die dort am Graben wachsen, nach verwesendem Tier. Da der Geruch ziemlich stark ist, gehe ich davon aus, dass es ein größeres Tier ist. In dem Bereich leben auch Marder. Vielleicht mag sich das mal jemand ansehen. 
Freundliche Grüße 
Nicola Preuschhoff","Weißdornweg, 26129 Oldenburg","53.1431, 8.1487","25.04.2025, 09:11: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1086,Kein Status,Verkehrszeichen ⚠️,1086,"24.04.2025, 20:00","Wenn man aus dem Kreisel her einfährt, sind rechts die Vorfahrt Schilder  verdreckt, Teil verbogen und 1 steht verdeckt hinterm Bushaltestellen Häuschen!
Muss gereinigt, erneuert und versetzt werden!","Am Stadtrand, 26125 Oldenburg","53.1859, 8.2017","28.04.2025, 08:28: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 28.04.2025, 08:27: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1084,Kein Status,Wilde Müllkippe 🧹,1084,"24.04.2025, 14:38","Unter der Brücke, am Ende.","Uferstraße 2, 26135 Oldenburg","53.1332, 8.2207","07.05.2025, 10:52: Müll wurde beseitigt."
ID 1083,Kein Status,Straßen  🚧,1083,"24.04.2025, 13:57",Die Straße weist zunehmend Schlaglöcher auf.,"Klostermark, 26135 Oldenburg","53.1495, 8.2812","28.04.2025, 11:31: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 28.04.2025, 11:31: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1080,Kein Status,Wilde Müllkippe 🧹,1080,"24.04.2025, 02:05","Wenn man vom Parkplatz kleiner Famila Scheideweg auf  die Kreyenstraße fährt nach links, Richtung Nadorster Str., da ist rechts  an den Glascontainern Müll dazwischen abgestellt!
Bitte entsorgen!","In der Allmende, 26127 Oldenburg","53.1667, 8.2209","24.04.2025, 08:12: Der Müll wird im Rahmen der Stellplatzreinigung beseitigt."
ID 1078,Kein Status,Verkehrszeichen ⚠️,1078,"24.04.2025, 01:58","wenn man von der Ofener Str. in den Rummelweg rein schaut, da ist das Schild links sehr weit nach vorne verbogen!
Stange schaut doll rostig aus!
Bitte Richten!
Nicht das es umfällt und den Gehweg oder die Str. gefährdet!","Rummelweg, 26122 Oldenburg","53.1418, 8.1977","29.04.2025, 13:21: Vielen Dank für die Meldung. Der beschriebene Schaden wurde vom zuständigen Amt behoben.; 28.04.2025, 12:14: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 28.04.2025, 12:13: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1077,Kein Status,Straßen  🚧,1077,"23.04.2025, 20:17",Anhänger blockiert länger als 2 Wochen öffentlichen Parkplatz,"Gerhard-Schnitger-Straße, 26133 Oldenburg","53.0937, 8.2397","28.04.2025, 13:13: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 28.04.2025, 13:13: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1074,Kein Status,Wilde Müllkippe 🧹,1074,"23.04.2025, 19:47","Moin, der Bürgersteig vor der Nummer 86 und andere müsste mal gereinigt werden.","Hartenscher Damm 12, 26129 Oldenburg","53.1427, 8.1621","22.05.2025, 16:32: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 22.05.2025, 16:32: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 22.05.2025, 16:31: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 22.05.2025, 16:31: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1072,Kein Status,Wilde Müllkippe 🧹,1072,"23.04.2025, 11:44",Umfangreiche Müllablagerung vor den Kleidercontainern und gegenüber hinter den Glasvontainern,"Kleiner Kuhlenweg 38, 26123 Oldenburg","53.1582, 8.2447","24.04.2025, 08:42: Der Müll wird im Rahmen der Stellplatzreinigung beseitigt."
ID 1071,Kein Status,Wilde Müllkippe 🧹,1071,"23.04.2025, 11:16","Gebkenweg Ecke Wilhelmshavener Heerstr. befindet sich hinter dem Gebäude der Fa. Jysk zum Gebkenweg hin ein Altkleidercontainer, da umzu befindet wilde Müllkippe.","Gebkenweg 27, 26127 Oldenburg","53.1732, 8.226","24.04.2025, 09:56: den Müll haben wir beseitigt.24.04.2025"
ID 1070,Kein Status,Wilde Müllkippe 🧹,1070,"23.04.2025, 11:06","Mülleimer vor Nummer 11,
Die Mülleimer rund um den Pferdemarkt sind nach Markttagen stets überfüllt. Es wäre toll, wenn hier mehr Mülltonnen stehen würden.","Pferdemarkt 12, 26121 Oldenburg","53.147, 8.212","24.04.2025, 09:49: Danke für Ihre Meldung. Aber das Bild zeigt eine unerlaubte Müllablagerung.
Die Papierkörbe sind für die Parkplatznutzer gedacht.
Die Marktleute mussen ihren Müll selbst entsorgen.
Die Kartons haben wir Gestern beseitigt."
ID 1069,Kein Status,Wilde Müllkippe 🧹,1069,"23.04.2025, 08:37","Am Containerstellplatz an der Autobahnabfahrt würde Hausmüll, eine Bettmatratze, Kindersitze für PKW entsorgt.","Am Schießstand, 26131 Oldenburg","53.1307, 8.1958","24.04.2025, 08:40: Der Müll wird im Rahmen der Stellplatzreinigung beseitigt."
ID 1068,Kein Status,Wilde Müllkippe 🧹,1068,"23.04.2025, 08:17","Am Containerstellplatz wurde zahlreicher Hausmüll, Teppich, Schaumstoff, Schrnkchen, Spielsachen pp. Entsorgt. Ausmaß ca. Zwei Kubikmeter.","Dachsweg 54,56, 26131 Oldenburg","53.1231, 8.1907","24.04.2025, 08:40: Der Müll wird im Rahmen der Stellplatzreinigung beseitigt."
ID 1067,Kein Status,Wilde Müllkippe 🧹,1067,"22.04.2025, 10:21","Wieder mal Müll an Glas- und Kleidersammelstelle bei Backyard.

Es wäre schön, wenn man Bilder über eine Dateiauswahl auswählen könnte. Bilder in das Fenster unten ziehen funktioniert über ein Telefon bei mir nicht. Ich hätte aber welche.","Alexanderstraße, 26127 Oldenburg","53.1806, 8.1844","24.04.2025, 08:14: Der Müll wird im Rahmen der Stellplatzreinihung beseitigt.; 24.04.2025, 08:05: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 24.04.2025, 08:04: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1066,Kein Status,Verkehrszeichen ⚠️,1066,"22.04.2025, 10:19","Am Schilder-/Ampelmast hängen Seile in den Verkehrsraum herunter. Sieht aus, als wenn dort jemand eine Schaukel angebracht hätte.","Bremer Straße 4, 26135 Oldenburg","53.1328, 8.2203","29.04.2025, 12:25: Vielen Dank für die Meldung. Der beschriebene Schaden wurde vom zuständigen Amt behoben.; 22.04.2025, 11:04: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 22.04.2025, 10:57: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1065,Kein Status,Wilde Müllkippe 🧹,1065,"22.04.2025, 07:18",Unter der Bahnunterführung liegen viele Glassplitter genau im Bereich der Fahrradrampen.,"Im Technologiepark, 26129 Oldenburg","53.1521, 8.1768","07.05.2025, 07:54: Mangel wurde beseitigt."
ID 1063,Kein Status,Straßen  🚧,1063,"21.04.2025, 22:04","Versackung in der Fahrbahn , vermutlich Kanal defekt",Lade Adresse ...,"53.1945, 8.2","23.04.2025, 12:11: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 23.04.2025, 12:10: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1060,Kein Status,Wilde Müllkippe 🧹,1060,"21.04.2025, 18:08",Wieder mal Müll unter der Brücke,"Amalienstraße, 26135 Oldenburg","53.1385, 8.2257","25.04.2025, 10:31: Müll wurde am23.04.2025 beseitigt."
ID 1059,Kein Status,Spielplätze 🧸,1059,"21.04.2025, 17:20",Sitzfläche los,"Schinkelstraße, 26127 Oldenburg","53.1789, 8.1951","24.04.2025, 14:03: Vielen Dank für die Meldung! Der Schaden wird in Kürze beseitigt.; 24.04.2025, 09:21: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 24.04.2025, 09:20: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1058,Kein Status,Spielplätze 🧸,1058,"21.04.2025, 17:16","Schraube an Hängebrücke lose, an der Seite der Rutsche","Schinkelstraße, 26127 Oldenburg","53.1789, 8.1951","24.04.2025, 14:14: Vielen Dank für die Meldung! Der Schaden wird in Kürze beseitigt.; 24.04.2025, 09:22: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 24.04.2025, 09:22: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1057,Kein Status,Privates Grün an Straßen 🌲,1057,"21.04.2025, 15:44","Radweg steht hoch durch Baumwurzel, (10.Baum, ab Kanalbrücke gezählt. )
Unfallgefahr!","Westfalendamm, 26131 Oldenburg","53.1157, 8.1957","24.04.2025, 09:08: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 24.04.2025, 09:08: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1056,Kein Status,Wilde Müllkippe 🧹,1056,"21.04.2025, 15:38",Donnerschweer Str / Ecke Lindenstr. Stadteinwärts auf der rechten Seite :An der Bushaltestelle  steht ein Stuhl,"Donnerschweer Straße, 26123 Oldenburg","53.149, 8.2258","25.04.2025, 10:32: Müll wurde am23.04.2025 beseitigt."
ID 1054,Kein Status,Wilde Müllkippe 🧹,1054,"21.04.2025, 10:21",Der Mülleimer an der Haltestelle Feldstrasse stadteinwärts ist geöffnet worden und der Müll liegt auf dem Gehweg,"Alexanderstraße 271, 26127 Oldenburg","53.1651, 8.2014","24.04.2025, 08:24: Die Bus halte stelle ist zur Zeit aufgehoben dort befindet sich kein Papierkorb, das Bild zeigt dass jemand Hausmüll entsorgt hat.; 24.04.2025, 08:05: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 24.04.2025, 08:05: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1052,Kein Status,Straßen  🚧,1052,"20.04.2025, 20:50",Mellumstraße viel Unrat in den Bermen und der Rinne. Auch Farbeimer…,"Mellumstraße 11, 26125 Oldenburg","53.1784, 8.2256","24.04.2025, 13:23: Der Müll wurde beseitigt.; 24.04.2025, 09:02: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 24.04.2025, 09:01: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1051,Kein Status,Wilde Müllkippe 🧹,1051,"20.04.2025, 20:14",Es ist eine wieder einmal an dieser Stelle eine (größenwerdende) wilde Müllkippe entstanden. Auf der Görlitzer Straße kreuzen zudem regelmäßig Ratten.,"Görlitzer Straße 43, 26127 Oldenburg","53.1682, 8.1971","25.04.2025, 10:35: Müll wurde am23.04.2025 beseitigt."
ID 1050,Kein Status,Wilde Müllkippe 🧹,1050,"20.04.2025, 20:03",Alexanderstr 394 Dort steht ein Fernseher auf dem Grünstreifen,"Alexanderstraße 394, 26127 Oldenburg","53.173, 8.1938","25.04.2025, 10:36: Müll wurde am23.04.2025 beseitigt."
ID 1049,Kein Status,Straßen  🚧,1049,"20.04.2025, 19:56",Haselriege 19 Auf dem Parkstreifen steht ein weißer BMW Kombi ohne Kennzeichen,"Haselriege 19, 26125 Oldenburg","53.181, 8.2339","24.04.2025, 08:57: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 23.04.2025, 12:16: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 1047,Kein Status,Wilde Müllkippe 🧹,1047,"20.04.2025, 16:49",Diverse Sorten Müll rund herum um die Altglas- und Kleidercontainer,"Hochheider Weg, 26123 Oldenburg","53.1623, 8.2323","24.04.2025, 08:27: Der Müll wird im Rahmen der Stellplatzreinigung beseitigt.; 24.04.2025, 08:05: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 24.04.2025, 08:05: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
