"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","block","M01","M02","M03","M04","M05","M06","M07","M08","P01","P01V","P01M","P01N","P01S","P02","P02V","P02M","P02N","P02S","P03","P03V","P03M","P03N","P03S","P04","P04V","P04M","P04N","P04S","P05","P05V","P05M","P05N","P05S","P06","P06V","P06M","P06N","P06S","P07","P07V","P07M","P07N","P07S","P08","P08V","P08M","P08N","P08S","K01","K02","K03","G00Q02[SQ001]","G00Q02[SQ002]","G00Q02[SQ003]","G00Q03[SQ001]","G00Q03[SQ002]","G00Q03[SQ003]","G00Q04[SQ001]","G00Q04[SQ002]","G00Q04[SQ003]","sex","age","educ","interviewtime","groupTime27792","blockTime","groupTime27793","M01Time","M02Time","M03Time","M04Time","M05Time","M06Time","M07Time","M08Time","groupTime27847","P01Time","P01VTime","P01MTime","P01NTime","P01STime","P02Time","P02VTime","P02MTime","P02NTime","P02STime","P03Time","P03VTime","P03MTime","P03NTime","P03STime","P04Time","P04VTime","P04MTime","P04NTime","P04STime","P05Time","P05VTime","P05MTime","P05NTime","P05STime","P06Time","P06VTime","P06MTime","P06NTime","P06STime","P07Time","P07VTime","P07MTime","P07NTime","P07STime","P08Time","P08VTime","P08MTime","P08NTime","P08STime","groupTime29373","K01Time","K02Time","K03Time","groupTime27791","G00Q02Time","G00Q03Time","G00Q04Time","groupTime29372","sexTime","ageTime","educTime"
"36","2025-07-06 20:04:43","6","de","423803835","2025-07-06 20:01:57","2025-07-06 20:04:43","0","Wilde Müllkippe 🧹","Straßen 🚧","Abfall 🗑","Abfall 🗑","Abfall 🗑","Verkehrszeichen ⚠️","Wilde Müllkippe 🧹","Abfall 🗑",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Unsicher","Ja","Keine klaren Kategorien, Danke sagen ???","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","20","Abitur","166.25",,,"112.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33.14",,,,"11.09",,,,"9.39",,,
"37","2025-07-06 20:12:18","6","de","1139835391","2025-07-06 20:08:34","2025-07-06 20:12:18","1",,,,,,,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Asphalt & Schlaglöcher",,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Müllentsorgung",,"Altglas- & Altkleidercontainer",,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Ampeln, Verkehrsschilder & Straßenbeleuchtung",,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Müllentsorgung",,"Umweltverschmutzung",,,"Sehr sicher","Nein",,"Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","25","Hochschulabschluss","222.54",,,,,,,,,,,,"188.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11.9",,,,"11.56",,,,"10.46",,,
"38","2025-07-06 21:28:32","6","de","1443173235","2025-07-06 21:27:04","2025-07-06 21:28:32","0","Abfall 🗑","Straßen 🚧","Wilde Müllkippe 🧹","Wilde Müllkippe 🧹","Abfall 🗑","Verkehrszeichen ⚠️","Abfall 🗑","Wilde Müllkippe 🧹",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sicher","Nein",,"Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","21","Hochschulabschluss","87.79",,,"50.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9.27",,,,"13.18",,,,"15.11",,,
"39","2025-07-06 21:49:47","6","de","445930784","2025-07-06 21:47:01","2025-07-06 21:49:47","0","Abfall 🗑","Straßen 🚧","Wilde Müllkippe 🧹","Wilde Müllkippe 🧹","Abfall 🗑","Verkehrszeichen ⚠️","Wilde Müllkippe 🧹","Wilde Müllkippe 🧹",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sicher","Ja","Mir war nicht ganz klar, ab wann es zur Kategorie Müll zählt und ab wann zur Kategorie wilde Müllkippe","Nein","Ja","Nein","Ja","Nein","Nein","Nein","Ja","Nein","Männlich","29","Hochschulabschluss","165.32",,,"91.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45.76",,,,"15.63",,,,"12.08",,,
"40","2025-07-06 22:04:13","6","de","25610280","2025-07-06 22:00:37","2025-07-06 22:04:13","0","Abfall 🗑","Straßen 🚧","Abfall 🗑","Wilde Müllkippe 🧹","Abfall 🗑","Straßen 🚧","Abfall 🗑","Wilde Müllkippe 🧹",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sehr unsicher","Ja","Die Kategorien wurden nicht richtig beschrieben und es passen mehrere Kategorien zu einem Bild. Vorallem die mit dem Müll, was auch Probleme auf z.B. Spielplätzen ist. Unverständlich war auch ""Abfall"" und ""Wilde Müllkippe"", was eigentlich das gleiche Problem darstellt, wobei letzteres lustiger klang. ","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Divers","19","Abitur","216.9",,,"74.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"114.32",,,,"17.37",,,,"10.8",,,
"41","2025-07-06 22:34:26","6","de","523820272","2025-07-06 22:29:47","2025-07-06 22:34:26","1",,,,,,,,,"Natur & öffentliche Plätze",,,"Umweltverschmutzung",,"Verkehr & Infrastruktur","Asphalt & Schlaglöcher",,,,"Natur & öffentliche Plätze",,,"Umweltverschmutzung",,"Natur & öffentliche Plätze",,,"Umweltverschmutzung",,"Natur & öffentliche Plätze",,,"Umweltverschmutzung",,"Verkehr & Infrastruktur","Ampeln, Verkehrsschilder & Straßenbeleuchtung",,,,"Natur & öffentliche Plätze",,,"Umweltverschmutzung",,"Natur & öffentliche Plätze",,,"Umweltverschmutzung",,"Sicher","Ja","Ich fand es bei den ganzen Müll Bildern schwierig zu sagen ob es eher ein Problem der Müllentsorgung ist oder von Natur & öffentliche Plätze, da ja der Müll illegal an öffentlichen Orten bzw. in der Natur entsorgt wurde.","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","24","Abitur","276.75",,,,,,,,,,,,"152.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94.09",,,,"15.32",,,,"14.84",,,
"42","2025-07-06 22:44:47","6","de","2073102901","2025-07-06 22:43:07","2025-07-06 22:44:47","0","Wilde Müllkippe 🧹","Straßen 🚧","Abfall 🗑","Wilde Müllkippe 🧹","Abfall 🗑","Verkehrszeichen ⚠️","Abfall 🗑","Wilde Müllkippe 🧹",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sehr sicher","Nein",,"Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","21","Abitur","99.84",,,"65.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.11",,,,"15.52",,,,"11.08",,,
"43","2025-07-07 00:24:27","6","de","1054910403","2025-07-07 00:20:10","2025-07-07 00:24:27","1",,,,,,,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Asphalt & Schlaglöcher",,,,"Müllentsorgung",,"Sperrmüll",,,"Müllentsorgung",,"Altglas- & Altkleidercontainer",,,"Müllentsorgung",,"Sonstiges",,,"Verkehr & Infrastruktur","Ampeln, Verkehrsschilder & Straßenbeleuchtung",,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Müllentsorgung",,"Altglas- & Altkleidercontainer",,,"Sicher","Nein",,"Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Männlich","27","Hochschulabschluss","254.2",,,,,,,,,,,,"163.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19.55",,,,"60.02",,,,"11.38",,,
"44","2025-07-07 08:00:04","6","de","700096646","2025-07-07 07:54:37","2025-07-07 08:00:04","0","Wilde Müllkippe 🧹","Straßen 🚧","Wilde Müllkippe 🧹","Wilde Müllkippe 🧹","Wilde Müllkippe 🧹","Verkehrszeichen ⚠️","Wilde Müllkippe 🧹","Wilde Müllkippe 🧹",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Unsicher","Ja","Die Kategorien sind zT unterschieden in Ort und Art, wobei diese eigentlich nicht unbedingt zu unterscheiden, sondern miteinander in Verbindung zu bringen sein müssten. Bsp.: Bild von unrechtmäßig abgestelltem Müll im Park: Was macht man da jetzt? Wählt man Grünanlage, oder wilde Müllkippe. Ansonsten empfand ich die Auswahl auch als zu unkonkret. ","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","33","Hochschulabschluss","326.4",,,"80.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"219.31",,,,"16.61",,,,"10.05",,,
"45","2025-07-07 09:32:39","6","de","2135779707","2025-07-07 09:29:07","2025-07-07 09:32:39","1",,,,,,,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Asphalt & Schlaglöcher",,,,"Müllentsorgung",,"Sperrmüll",,,"Müllentsorgung",,"Altglas- & Altkleidercontainer",,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Sonstiges",,,,"Müllentsorgung",,"Gefahrenstoffe",,,"Müllentsorgung",,"Sperrmüll",,,"Sicher","Ja","Ich hatte Probleme, das beschmierte Straßenschild zuzuordenen. Es ist möglich, dass ich nicht richtig gelesen haben und es doch einen Kategorie dafür gibt. Auf dem Bild mit dem Bett und den Klamotten - dachte ich, dass es schön wäre die option zu haben eine weitere Kategorie auszuwählen.","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","27","Hochschulabschluss","207.75",,,,,,,,,,,,"98.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85.41",,,,"14.92",,,,"9.34",,,
"46","2025-07-07 10:06:25","6","de","1599867067","2025-07-07 10:04:49","2025-07-07 10:06:25","0","Wilde Müllkippe 🧹","Straßen 🚧","Wilde Müllkippe 🧹","Abfall 🗑","Wilde Müllkippe 🧹","Verkehrszeichen ⚠️","Abfall 🗑","Wilde Müllkippe 🧹",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sicher","Ja","Abfall vs. wilde Müllkippe undeutlich","Nein","Ja","Nein","Ja","Nein","Nein","Ja","Nein","Nein","Männlich","22","Hochschulabschluss","98.09",,,"55.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22.53",,,,"10.56",,,,"9.8",,,
"47","2025-07-07 10:55:20","6","de","1167039522","2025-07-07 10:52:21","2025-07-07 10:55:20","1",,,,,,,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Asphalt & Schlaglöcher",,,,"Müllentsorgung",,"Sperrmüll",,,"Müllentsorgung",,"Sperrmüll",,,"Müllentsorgung",,"Sonstiges",,,"Natur & öffentliche Plätze",,,"Aufkleber, Plakate & Sprüche",,"Müllentsorgung",,"Gefahrenstoffe",,,"Müllentsorgung",,"Sperrmüll",,,"Sicher","Nein",,"Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","20","Abitur","176.16",,,,,,,,,,,,"124.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11.93",,,,"23.69",,,,"16.01",,,
"48","2025-07-07 12:37:47","6","de","1702504613","2025-07-07 12:34:50","2025-07-07 12:37:47","1",,,,,,,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Asphalt & Schlaglöcher",,,,"Müllentsorgung",,"Sperrmüll",,,"Müllentsorgung",,"Umweltverschmutzung",,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Ampeln, Verkehrsschilder & Straßenbeleuchtung",,,,"Müllentsorgung",,"Sonstiges",,,"Müllentsorgung",,"Sperrmüll",,,"Sicher","Nein",,"Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","26","Hochschulabschluss","173.74",,,,,,,,,,,,"130.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20.14",,,,"11.22",,,,"12.23",,,
"49","2025-07-07 13:11:17","6","de","1025248022","2025-07-07 13:05:25","2025-07-07 13:11:17","1",,,,,,,,,"Natur & öffentliche Plätze",,,"Umweltverschmutzung",,"Verkehr & Infrastruktur","Sonstiges",,,,"Natur & öffentliche Plätze",,,"Umweltverschmutzung",,"Müllentsorgung",,"Altglas- & Altkleidercontainer",,,"Müllentsorgung",,"Umweltverschmutzung",,,"Natur & öffentliche Plätze",,,"Aufkleber, Plakate & Sprüche",,"Natur & öffentliche Plätze",,,"Umweltverschmutzung",,"Natur & öffentliche Plätze",,,"Umweltverschmutzung",,"Sicher","Ja","man kann viele Bilder mehreren Kategorien zuordnen.","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","25","Hochschulabschluss","349.69",,,,,,,,,,,,"112.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"210.14",,,,"13.43",,,,"13.4",,,
"50","2025-07-07 13:14:28","6","de","1772069538","2025-07-07 13:13:02","2025-07-07 13:14:28","0","Wilde Müllkippe 🧹","Straßen 🚧","Wilde Müllkippe 🧹","Abfall 🗑","Abfall 🗑","Verkehrszeichen ⚠️","Abfall 🗑","Wilde Müllkippe 🧹",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sicher","Nein",,"Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Männlich","26","Abitur","84.92",,,"55.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.98",,,,"12",,,,"9.12",,,
"51","2025-07-07 14:07:52","6","de","1366823079","2025-07-07 14:04:50","2025-07-07 14:07:52","0","Wilde Müllkippe 🧹","Straßen 🚧","Abfall 🗑","Abfall 🗑","Abfall 🗑","Verkehrszeichen ⚠️","Wilde Müllkippe 🧹","Wilde Müllkippe 🧹",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Weder sicher noch unsicher","Ja","Manchmal waren die Kategorien nicht eindeutig zuzuordnen. Die Definition dieser fehlte. ","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","23","Hochschulabschluss","181.32",,,"87.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55.91",,,,"15.81",,,,"22.2",,,
"52","2025-07-07 14:13:55","6","de","1751533211","2025-07-07 14:12:08","2025-07-07 14:13:55","0","Wilde Müllkippe 🧹","Straßen 🚧","Abfall 🗑","Abfall 🗑","Abfall 🗑","Spielplätze 🧸","Abfall 🗑","Abfall 🗑",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sicher","Nein",,"Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","24","Abitur","107.2",,,"74.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9.19",,,,"9.61",,,,"13.47",,,
"53","2025-07-07 14:51:57","6","de","1545976510","2025-07-07 14:49:25","2025-07-07 14:51:57","1",,,,,,,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Asphalt & Schlaglöcher",,,,"Müllentsorgung",,"Sperrmüll",,,"Müllentsorgung",,"Altglas- & Altkleidercontainer",,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Ampeln, Verkehrsschilder & Straßenbeleuchtung",,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Müllentsorgung",,"Sperrmüll",,,"Sehr sicher","Nein",,"Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","22","Abitur","148.6",,,,,,,,,,,,"116.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.1",,,,"12.22",,,,"13.13",,,
"54",,"2","de","957402716","2025-07-07 15:37:19","2025-07-07 16:01:27","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"55","2025-07-07 16:28:20","6","de","1267938012","2025-07-07 16:26:33","2025-07-07 16:28:20","0","Wilde Müllkippe 🧹","Straßen 🚧","Wilde Müllkippe 🧹","Wilde Müllkippe 🧹","Abfall 🗑","Verkehrszeichen ⚠️","Abfall 🗑","Wilde Müllkippe 🧹",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Unsicher","Ja","Unterscheidung von Abfall und Wilde Müllkippe","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Männlich","25","Hochschulabschluss","107.42",,,"63.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19.89",,,,"11.58",,,,"11.97",,,
"56","2025-07-07 20:26:46","6","de","1798840513","2025-07-07 20:24:44","2025-07-07 20:26:46","0","Abfall 🗑","Straßen 🚧","Wilde Müllkippe 🧹","Wilde Müllkippe 🧹","Wilde Müllkippe 🧹","Verkehrszeichen ⚠️","Wilde Müllkippe 🧹","Wilde Müllkippe 🧹",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sicher","Ja","Verkehrszeichen als Mangel","Nein","Ja","Nein","Ja","Nein","Nein","Nein","Ja","Nein","Männlich","30","Hochschulabschluss","123.67",,,"76.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18.58",,,,"20.22",,,,"8.63",,,
"57","2025-07-07 20:32:52","6","de","596785981","2025-07-07 20:27:33","2025-07-07 20:32:52","1",,,,,,,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Asphalt & Schlaglöcher",,,,"Müllentsorgung",,"Sperrmüll",,,"Müllentsorgung",,"Altglas- & Altkleidercontainer",,,"Müllentsorgung",,"Sonstiges",,,"Verkehr & Infrastruktur","Ampeln, Verkehrsschilder & Straßenbeleuchtung",,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Müllentsorgung",,"Sperrmüll",,,"Weder sicher noch unsicher","Ja","Manche Mängel fallen offensichtlich nicht nur in eine Kategorie, sondern in mehrere. Zudem waren nicht alle Bilder zu 100 Prozent eindeutig hinsichtlich der Sachlage.","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Männlich","19","Abitur","315.21",,,,,,,,,,,,"179.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107.85",,,,"16.48",,,,"11.02",,,
"58","2025-07-07 21:00:25","6","de","204226963","2025-07-07 20:56:41","2025-07-07 21:00:25","1",,,,,,,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Asphalt & Schlaglöcher",,,,"Müllentsorgung",,"Sperrmüll",,,"Müllentsorgung",,"Altglas- & Altkleidercontainer",,,"Müllentsorgung",,"Öffentliche Mülleimer",,,"Verkehr & Infrastruktur","Ampeln, Verkehrsschilder & Straßenbeleuchtung",,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Müllentsorgung",,"Sperrmüll",,,"Sicher","Ja","Bei den unterkategorien fehlte mir eine Kategorie wie Hausmüll oder Alltagsmüll","Nein","Ja","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","26","Hochschulabschluss","220.23",,,,,,,,,,,,"127.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56.86",,,,"23.91",,,,"12.39",,,
"59","2025-07-07 22:22:34","6","de","1072654066","2025-07-07 22:19:09","2025-07-07 22:22:34","1",,,,,,,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Asphalt & Schlaglöcher",,,,"Müllentsorgung",,"Sonstiges",,,"Müllentsorgung",,"Altglas- & Altkleidercontainer",,,"Müllentsorgung",,"Sonstiges",,,"Verkehr & Infrastruktur","Ampeln, Verkehrsschilder & Straßenbeleuchtung",,,,"Müllentsorgung",,"Gefahrenstoffe",,,"Müllentsorgung",,"Sperrmüll",,,"Sicher","Ja","Konnte auf dem Bild mit den weißen Platten auf dem Parkplatz nicht so wirklich erkennen, was das für Platten sein sollen","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","25","Hochschulabschluss","203.46",,,,,,,,,,,,"139.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39.64",,,,"11.34",,,,"12.6",,,
"60","2025-07-07 22:37:00","6","de","911792370","2025-07-07 22:34:05","2025-07-07 22:37:00","0","Wilde Müllkippe 🧹","Straßen 🚧","Abfall 🗑","Wilde Müllkippe 🧹","Abfall 🗑","Verkehrszeichen ⚠️","Abfall 🗑","Wilde Müllkippe 🧹",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Weder sicher noch unsicher","Nein",,"Nein","Ja","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","20","Abitur","158.66",,,"110.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21.82",,,,"13.82",,,,"12.61",,,
"61",,"2","de","1785056886","2025-07-08 07:52:55","2025-07-08 07:52:55","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"62","2025-07-08 11:17:16","6","de","1689818448","2025-07-08 11:15:34","2025-07-08 11:17:16","0","Abfall 🗑","Straßen 🚧","Abfall 🗑","Wilde Müllkippe 🧹","Abfall 🗑","Verkehrszeichen ⚠️","Abfall 🗑","Wilde Müllkippe 🧹",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sicher","Nein",,"Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","23","Hochschulabschluss","102.17",,,"60.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11.23",,,,"17.16",,,,"13.29",,,
"63","2025-07-08 13:01:52","6","de","195190126","2025-07-08 12:57:39","2025-07-08 13:01:52","1",,,,,,,,,"Natur & öffentliche Plätze",,,"Sonstiges",,"Verkehr & Infrastruktur","Asphalt & Schlaglöcher",,,,"Müllentsorgung",,"Sperrmüll",,,"Müllentsorgung",,"Altglas- & Altkleidercontainer",,,"Müllentsorgung",,"Sonstiges",,,"Verkehr & Infrastruktur","Ampeln, Verkehrsschilder & Straßenbeleuchtung",,,,"Müllentsorgung",,"Gefahrenstoffe",,,"Müllentsorgung",,"Sperrmüll",,,"Sicher","Ja","man möchte ""Sonstiges"" vermeiden, aber alles andere passte manchmal nicht oder betraf mehrere Kategorien","Nein","Ja","Nein","Nein","Nein","Ja","Nein","Ja","Nein","Weiblich","28","Hochschulabschluss","249.84",,,,,,,,,,,,"169.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45.81",,,,"20.16",,,,"13.89",,,
